SubjectName;Timestamp;FeedbackType;MainTask;MainTaskInfo;MainTaskXPos;MainTaskZPos;SecondaryTask;SecondaryTaskInfo;PlayerXPos;PlayerZPos;HorizontalPlayerRot;VerticalPlayerRot;HorizontalHmdRot;VerticalHmdRot
Subject #256;15.445;Audio;None;;;;None;;29.35886;171.2003;9.72998;0;9.72998;0
Subject #256;15.568;Audio;None;;;;None;;29.60882;172.658;9.72998;0;9.72998;0
Subject #256;15.690;Audio;None;;;;None;;29.85539;174.0959;9.72998;0;9.72998;0
Subject #256;15.790;Audio;None;;;;None;;30.05776;175.2761;9.72998;0;9.72998;0
Subject #256;15.910;Audio;None;;;;None;;30.30225;176.702;9.72998;0;9.72998;0
Subject #256;16.015;Audio;None;;;;None;;30.51394;177.9366;9.72998;0;9.72998;0
Subject #256;16.137;Audio;None;;;;None;;30.76171;179.3816;9.72998;0;9.72998;0
Subject #256;16.259;Audio;None;;;;None;;31.01024;180.831;9.72998;0;9.72998;0
Subject #256;16.360;Audio;None;;;;None;;31.2141;182.0198;9.72998;0;9.72998;0
Subject #256;16.464;Audio;Middle;Task Started;;;Middle;Task Started;31.42453;183.247;9.72998;0;9.72998;0
Subject #256;16.570;Audio;Middle;;;;Middle;;31.641;184.5094;9.72998;0;9.72998;0
Subject #256;16.694;Audio;Middle;;;;Middle;;31.89223;185.9745;9.72998;0;9.72998;0
Subject #256;16.818;Audio;Middle;;;;Middle;;32.1438;187.4417;9.72998;0;9.72998;0
Subject #256;16.939;Audio;Middle;;;;Middle;;32.38937;188.8738;9.72998;0;9.72998;0
Subject #256;17.040;Audio;Middle;;;;Middle;;32.59432;190.069;9.72998;0;9.72998;0
Subject #256;17.175;Audio;Middle;;;;Middle;;32.86715;191.6601;9.72998;0;9.72998;0
Subject #256;17.296;Audio;Middle;;;;Middle;;33.11119;193.0834;9.72998;0;9.72998;0
Subject #256;17.417;Audio;Middle;;;;Middle;;33.35906;194.529;9.72998;0;9.72998;0
Subject #256;17.519;Audio;Middle;;;;Middle;;33.56475;195.7285;9.72998;0;9.72998;0
Subject #256;17.624;Audio;Middle;;;;Middle;;33.77833;196.9741;9.72998;0;9.72998;0
Subject #256;17.746;Audio;Middle;;;;Middle;;34.02462;198.4104;9.72998;0;9.72998;0
Subject #256;17.865;Audio;Middle;;;;Middle;;34.2675;199.8268;9.72998;0;9.72998;0
Subject #256;17.990;Audio;Middle;;;;Middle;;34.51961;201.2971;9.72998;0;9.72998;0
Subject #256;18.090;Audio;Middle;;;;Middle;;34.72366;202.4871;9.72998;0;9.72998;0
Subject #256;18.215;Audio;Middle;;;;Middle;;34.976;203.9588;9.72998;0;9.72998;0
Subject #256;18.315;Audio;Middle;;;;Middle;;35.17954;205.1458;9.72998;0;9.72998;0
Subject #256;18.441;Audio;Middle;;;;Middle;;35.43525;206.637;9.72998;0;9.72998;0
Subject #256;18.567;Audio;Middle;;;;Middle;;35.6909;208.1279;9.72998;0;9.72998;0
Subject #256;18.672;Audio;Middle;;;;Middle;;35.90408;209.3711;9.72998;0;9.72998;0
Subject #256;18.793;Audio;Middle;;;;Middle;;36.14884;210.7986;9.72998;0;9.72998;0
Subject #256;18.896;Audio;Middle;;;;Middle;;36.35763;212.0162;9.72998;0;9.72998;0
Subject #256;19.014;Audio;Middle;;;;Middle;;36.5975;213.4151;9.72998;0;9.72998;0
Subject #256;19.120;Audio;Middle;;;;Middle;;36.81168;214.6642;9.72998;0;9.72998;0
Subject #256;19.220;Audio;Middle;;;;Middle;;37.01409;215.8447;9.72998;0;9.72998;0
Subject #256;19.320;Audio;Middle;;;;Middle;;37.21778;217.0325;9.72998;0;9.72998;0
Subject #256;19.445;Audio;Middle;;;;Middle;;37.47195;218.5148;9.72998;0;9.72998;0
Subject #256;19.551;Audio;Middle;;;;Middle;;37.68753;219.772;9.72998;0;9.72998;0
Subject #256;19.663;Audio;Middle;;;;Middle;;37.91274;221.0854;9.72998;0;9.72998;0
Subject #256;19.767;Audio;Middle;;;;Middle;;38.12483;222.3223;9.72998;0;9.72998;0
Subject #256;19.889;Audio;Middle;;;;Middle;;38.37184;223.7628;9.72998;0;9.72998;0
Subject #256;19.989;Audio;Middle;;;;Middle;;38.57582;224.9524;9.72998;0;9.72998;0
Subject #256;20.090;Audio;Middle;;;;Middle;;38.77948;226.1401;9.72998;0;9.72998;0
Subject #256;20.190;Audio;Middle;;;;Middle;;38.98316;227.3279;9.72998;0;9.72998;0
Subject #256;20.316;Audio;Middle;;;;Middle;;39.23735;228.8103;9.72998;0;9.72998;0
Subject #256;20.439;Audio;Middle;;;;Middle;;39.48648;230.2632;9.72998;0;9.72998;0
Subject #256;20.559;Audio;Middle;;;;Middle;;39.73095;231.6889;9.72998;0;9.72998;0
Subject #256;20.662;Audio;Middle;;;;Middle;;39.93848;232.8992;9.72998;0;9.72998;0
Subject #256;20.766;Audio;Middle;;;;Middle;;40.14948;234.1297;9.72998;0;9.72998;0
Subject #256;20.873;Audio;Middle;;;;Middle;;40.36705;235.3985;9.72998;0;9.72998;0
Subject #256;20.977;Audio;Middle;;;;Middle;;40.57743;236.6254;9.72998;0;9.72998;0
Subject #256;21.082;Audio;Middle;;;;Middle;;40.79103;237.8712;9.72998;0;9.72998;0
Subject #256;21.205;Audio;Middle;;;;Middle;;41.04163;239.3326;9.72998;0;9.72998;0
Subject #256;21.306;Audio;Middle;;;;Middle;;41.24566;240.5225;9.72998;0;9.72998;0
Subject #256;21.410;Audio;None;Timeout;;;None;Timeout;41.45731;241.7568;9.72998;0;9.72998;0
Subject #256;21.511;Audio;None;;;;None;;41.66133;242.9466;9.72998;0;9.72998;0
Subject #256;21.612;Audio;None;;;;None;;41.86746;244.1487;9.72998;0;9.72998;0
Subject #256;21.715;Audio;None;;;;None;;42.07431;245.3551;9.72998;0;9.72998;0
Subject #256;21.825;Audio;None;;;;None;;42.29758;246.6572;9.72998;0;9.72998;0
Subject #256;21.925;Audio;None;;;;None;;42.50143;247.846;9.72998;0;9.72998;0
Subject #256;22.026;Audio;None;;;;None;;42.70531;249.035;9.72998;0;9.72998;0
Subject #256;22.127;Audio;None;;;;None;;42.9113;250.2363;9.72998;0;9.72998;0
Subject #256;22.253;Audio;None;;;;None;;43.1671;251.7281;9.72998;0;9.72998;0
Subject #256;22.355;Audio;None;;;;None;;43.37247;252.9257;9.72998;0;9.72998;0
Subject #256;22.456;Audio;None;;;;None;;43.57714;254.1194;9.72998;0;9.72998;0
Subject #256;22.570;Audio;None;;;;None;;43.80852;255.4688;9.72998;0;9.72998;0
Subject #256;22.693;Audio;None;;;;None;;44.05943;256.9321;9.72998;0;9.72998;0
Subject #256;22.823;Audio;None;;;;None;;44.32052;258.4548;9.72998;0;9.72998;0
Subject #256;22.924;Audio;None;;;;None;;44.52773;259.6632;9.72998;0;9.72998;0
Subject #256;23.024;Audio;None;;;;None;;44.73046;260.8455;9.72998;0;9.72998;0
Subject #256;23.126;Audio;None;;;;None;;44.93785;262.0549;9.72998;0;9.72998;0
Subject #256;23.251;Audio;None;;;;None;;45.19082;263.5303;9.72998;0;9.72998;0
Subject #256;23.356;Audio;None;;;;None;;45.40184;264.7609;9.72998;0;9.72998;0
Subject #256;23.457;Audio;None;;;;None;;45.60881;265.9679;9.72998;0;9.72998;0
Subject #256;23.568;Audio;None;;;;None;;45.83281;267.2743;9.72998;0;9.72998;0
Subject #256;23.693;Audio;None;;;;None;;46.08737;268.7588;9.72998;0;9.72998;0
Subject #256;23.796;Audio;None;;;;None;;46.29567;269.9735;9.72998;0;9.72998;0
Subject #256;23.911;Audio;None;;;;None;;46.52932;271.3362;9.72998;0;9.72998;0
Subject #256;24.014;Audio;None;;;;None;;46.73853;272.5563;9.72998;0;9.72998;0
Subject #256;24.121;Audio;None;;;;None;;46.95306;273.8074;9.72998;0;9.72998;0
Subject #256;24.244;Audio;None;;;;None;;47.20317;275.266;9.72998;0;9.72998;0
Subject #256;24.362;Audio;None;;;;None;;47.44428;276.6722;9.72998;0;9.72998;0
Subject #256;24.463;Audio;None;;;;None;;47.64916;277.867;9.72998;0;9.72998;0
Subject #256;24.567;Audio;None;;;;None;;47.85904;279.091;9.72998;0;9.72998;0
Subject #256;24.668;Audio;None;;;;None;;48.06408;280.2868;9.72998;0;9.72998;0
Subject #256;24.769;Audio;None;;;;None;;48.26931;281.4836;9.72998;0;9.72998;0
Subject #256;24.892;Audio;None;;;;None;;48.5195;282.9427;9.72998;0;9.72998;0
Subject #256;25.006;Audio;None;;;;None;;48.75068;284.2909;9.72998;0;9.72998;0
Subject #256;25.110;Audio;None;;;;None;;48.96029;285.5133;9.72998;0;9.72998;0
Subject #256;25.212;Audio;None;;;;None;;49.16706;286.7192;9.72998;0;9.72998;0
Subject #256;25.316;Audio;None;;;;None;;49.37844;287.9519;9.72998;0;9.72998;0
Subject #256;25.426;Audio;None;;;;None;;49.60194;289.2554;9.72998;0;9.72998;0
Subject #256;25.539;Audio;None;;;;None;;49.82983;290.5844;9.72998;0;9.72998;0
Subject #256;25.646;Audio;None;;;;None;;50.04689;291.8503;9.72998;0;9.72998;0
Subject #256;25.768;Audio;None;;;;None;;50.296;293.3031;9.72998;0;9.72998;0
Subject #256;25.873;Audio;None;;;;None;;50.50762;294.5373;9.72998;0;9.72998;0
Subject #256;25.978;Audio;None;;;;None;;50.72105;295.782;9.72998;0;9.72998;0
Subject #256;26.092;Audio;None;;;;None;;50.95267;297.1328;9.72998;0;9.72998;0
Subject #256;26.213;Audio;None;;;;None;;51.19689;298.557;9.72998;0;9.72998;0
Subject #256;26.315;Audio;None;;;;None;;51.40428;299.7664;9.72998;0;9.72998;0
Subject #256;26.417;Audio;None;;;;None;;51.61025;300.9677;9.72998;0;9.72998;0
Subject #256;26.522;Audio;None;;;;None;;51.82174;302.201;9.72998;0;9.72998;0
Subject #256;26.624;Audio;None;;;;None;;52.03076;303.42;9.72998;0;9.72998;0
Subject #256;26.728;Audio;None;;;;None;;52.24198;304.6518;9.72998;0;9.72998;0
Subject #256;26.831;Audio;None;;;;None;;52.45118;305.8718;9.72998;0;9.72998;0
Subject #256;26.933;Audio;None;;;;None;;52.65811;307.0786;9.72998;0;9.72998;0
Subject #256;27.045;Audio;None;;;;None;;52.88311;308.3907;9.72998;0;9.72998;0
Subject #256;27.155;Audio;None;;;;None;;53.10735;309.6984;9.72998;0;9.72998;0
Subject #256;27.258;Audio;None;;;;None;;53.31691;310.9206;9.72998;0;9.72998;0
Subject #256;27.362;Audio;None;;;;None;;53.52773;312.1501;9.72998;0;9.72998;0
Subject #256;27.462;Audio;None;;;;None;;53.73111;313.3361;9.72998;0;9.72998;0
Subject #256;27.569;Audio;None;;;;None;;53.94764;314.5989;9.72998;0;9.72998;0
Subject #256;27.675;Audio;None;;;;None;;54.16232;315.8508;9.72998;0;9.72998;0
Subject #256;27.778;Audio;None;;;;None;;54.37079;317.0666;9.72998;0;9.72998;0
Subject #256;27.881;Audio;None;;;;None;;54.58059;318.2902;9.72998;0;9.72998;0
Subject #256;28.003;Audio;None;;;;None;;54.82821;319.7343;9.72998;0;9.72998;0
Subject #256;28.112;Audio;None;;;;None;;55.04965;321.0257;9.72998;0;9.72998;0
Subject #256;28.222;Audio;None;;;;None;;55.27114;322.3174;9.72998;0;9.72998;0
Subject #256;28.324;Audio;None;;;;None;;55.47837;323.5259;9.72998;0;9.72998;0
Subject #256;28.431;Audio;None;;;;None;;55.69555;324.7924;9.72998;0;9.72998;0
Subject #256;28.537;Audio;None;;;;None;;55.90943;326.0397;9.72998;0;9.72998;0
Subject #256;28.641;Audio;None;;;;None;;56.1197;327.266;9.72998;0;9.72998;0
Subject #256;28.743;Audio;None;;;;None;;56.3286;328.4843;9.72998;0;9.72998;0
Subject #256;28.850;Audio;Left;Task Started;;;Left;Task Started;56.54555;329.7495;9.72998;0;9.72998;0
Subject #256;28.954;Audio;Left;;;;Left;;56.75461;330.9688;9.72998;0;9.72998;0
Subject #256;29.065;Audio;Left;;;;Left;;56.98092;332.2886;9.72998;0;9.72998;0
Subject #256;29.173;Audio;Left;;;;Left;;57.19963;333.5641;9.72998;0;9.72998;0
Subject #256;29.285;Audio;Left;;;;Left;;57.42738;334.8923;9.72998;0;9.72998;0
Subject #256;29.388;Audio;Left;;;;Left;;57.63721;336.116;9.72998;0;9.72998;0
Subject #256;29.493;Audio;Left;;;;Left;;57.85035;337.359;9.72998;0;9.72998;0
Subject #256;29.601;Audio;Left;;;;Left;;58.06747;338.6252;9.72998;0;9.72998;0
Subject #256;29.702;Audio;Left;;;;Left;;58.27311;339.8244;9.72998;0;9.72998;0
Subject #256;29.810;Audio;Left;;;;Left;;58.49281;341.1057;9.72998;0;9.72998;0
Subject #256;29.933;Audio;Left;;;;Left;;58.74068;342.5512;9.72998;0;9.72998;0
Subject #256;30.043;Audio;Left;;;;Left;;58.96463;343.8573;9.72998;0;9.72998;0
Subject #256;30.147;Audio;Left;;;;Left;;59.17672;345.0942;9.72998;0;9.72998;0
Subject #256;30.258;Audio;Left;;;;Left;;59.39956;346.3938;9.72998;0;9.72998;0
Subject #256;30.362;Audio;Left;;;;Left;;59.61124;347.6283;9.72998;0;9.72998;0
Subject #256;30.467;Audio;Left;;;;Left;;59.82585;348.8798;9.72998;0;9.72998;0
Subject #256;30.571;Audio;Left;;;;Left;;60.03508;350.1001;9.72998;0;9.72998;0
Subject #256;30.678;Audio;Left;;;;Left;;60.25163;351.3629;9.72998;0;9.72998;0
Subject #256;30.784;Audio;Left;;;;Left;;60.46856;352.628;9.72998;0;9.72998;0
Subject #256;30.895;Audio;Left;;;;Left;;60.69221;353.9323;9.72998;0;9.72998;0
Subject #256;31.001;Audio;Left;;;;Left;;60.90693;355.1846;9.72998;0;9.72998;0
Subject #256;31.106;Audio;Left;;;;Left;;61.12177;356.4375;9.72998;0;9.72998;0
Subject #256;31.213;Audio;Left;;;;Left;;61.33762;357.6964;9.72998;0;9.72998;0
Subject #256;31.329;Audio;Left;;;;Left;;61.57184;359.0623;9.72998;0;9.72998;0
Subject #256;31.439;Audio;Left;;;;Left;;61.7968;360.3742;9.72998;0;9.72998;0
Subject #256;31.546;Audio;Left;;;;Left;;62.01323;361.6364;9.72998;0;9.72998;0
Subject #256;31.654;Audio;Left;;;;Left;;62.23117;362.9074;9.72998;0;9.72998;0
Subject #256;31.778;Audio;Left;;;;Left;;62.48317;364.377;9.72998;0;9.72998;0
Subject #256;31.889;Audio;Left;;;;Left;;62.70866;365.6921;9.72998;0;9.72998;0
