SubjectName;Timestamp;FeedbackType;MainTask;MainTaskInfo;SecondaryTask;SecondaryTaskInfo;EventInfo;HorizontalPlayerRot;VerticalPlayerRot;HorizontalHmdRot;VerticalHmdRot
Subject #146;58.033;Audio;None;;None;;;1.025.947;349.456;1.025.947;349.456
Subject #146;58.134;Audio;None;;None;;;1.025.947;349.456;1.025.947;349.456
Subject #146;58.240;Audio;None;;None;;;1.025.947;349.456;1.025.947;349.456
Subject #146;58.417;Audio;None;;None;;;1.025.947;349.456;1.025.947;349.456
Subject #146;58.521;Audio;None;;None;;;1.025.947;349.456;1.025.947;349.456
Subject #146;58.637;Audio;None;;None;;;1.025.947;349.456;1.025.947;349.456
Subject #146;58.738;Audio;None;;None;;;1.025.947;349.456;1.025.947;349.456
Subject #146;58.839;Audio;None;;None;;;1.025.947;349.456;1.025.947;349.456
Subject #146;58.940;Audio;None;;None;;;1.025.947;349.456;1.025.947;349.456
Subject #146;59.056;Audio;None;;None;;;1.025.947;349.456;1.025.947;349.456
Subject #146;59.157;Audio;None;;None;;;1.025.947;349.456;1.025.947;349.456
Subject #146;59.272;Audio;None;;None;;;1.025.947;349.456;1.025.947;349.456
Subject #146;59.381;Audio;None;;None;;;1.025.947;349.456;1.025.947;349.456
Subject #146;59.490;Audio;None;;None;;;1.025.947;349.456;1.025.947;349.456
Subject #146;59.591;Audio;None;;None;;;1.025.947;349.456;1.025.947;349.456
Subject #146;59.710;Audio;None;;None;;;1.025.947;349.456;1.025.947;349.456
Subject #146;59.814;Audio;None;;None;;;1.025.947;349.456;1.025.947;349.456
Subject #146;59.914;Audio;None;;None;;;1.025.947;349.456;1.025.947;349.456
Subject #146;60.060;Audio;None;;None;;;1.025.947;349.456;1.025.947;349.456
Subject #146;60.175;Audio;None;;None;;;1.025.947;349.456;1.025.947;349.456
Subject #146;60.291;Audio;None;;None;;;1.025.947;349.456;1.025.947;349.456
Subject #146;60.394;Audio;None;;None;;;1.025.947;349.456;1.025.947;349.456
Subject #146;60.501;Audio;Right;;Right;;;1.025.947;349.456;1.025.947;349.456
Subject #146;60.603;Audio;Right;;Right;;;1.025.947;349.456;1.025.947;349.456
Subject #146;60.708;Audio;Right;;Right;;;1.025.947;349.456;1.025.947;349.456
Subject #146;60.815;Audio;Right;;Right;;;1.025.947;349.456;1.025.947;349.456
Subject #146;60.917;Audio;Right;;Right;;;1.025.947;349.456;1.025.947;349.456
Subject #146;61.024;Audio;Right;;Right;;;1.025.947;349.456;1.025.947;349.456
Subject #146;61.134;Audio;Right;;Right;;;1.025.947;349.456;1.025.947;349.456
Subject #146;61.239;Audio;Right;;Right;;;1.025.947;349.456;1.025.947;349.456
Subject #146;61.339;Audio;Right;;Right;;;1.025.947;349.456;1.025.947;349.456
Subject #146;61.454;Audio;Right;;Right;;;1.025.947;349.456;1.025.947;349.456
Subject #146;61.563;Audio;Right;;Right;;;1.025.947;349.456;1.025.947;349.456
Subject #146;61.673;Audio;Right;;Right;;;1.025.947;349.456;1.025.947;349.456
Subject #146;61.790;Audio;Right;;Right;;;1.025.947;349.456;1.025.947;349.456
Subject #146;61.892;Audio;Right;;Right;;;1.025.947;349.456;1.025.947;349.456
